name, slug
paddy pimblett, paddy-pimblett
Leon Edwards,leon-edwards
Conor McGregor,conor-mcgregor
Paddy Pimblett,paddy-pimblett
Israel Adesanya,israel-adesanya
Charles Oliveira,charles-oliveira
Molly McCann,molly-mccann
Francis Ngannou,francis-ngannou
Jorge Masvidal,jorge-masvidal
Kamaru Usman,kamaru-usman
Alexander Volkanovski,alexander-volkanovski
Dustin Poirier,dustin-poirier
Jon Jones,jon-jones
Michael Chandler,michael-chandler
Max Holloway,max-holloway
Jose Aldo,jose-aldo
Robert Whittaker,robert-whittaker
Francis Ngannou,francis-ngannou
Ciryl Gane,ciryl-gane
Stipe Miocic,stipe-miocic
Jon Jones,jon-jones
Tai Tuivasa,tai-tuivasa
Curtis Blaydes,curtis-blaydes
Derrick Lewis,derrick-lewis
Tom Aspinall,tom-aspinall
Alexander Volkov,alexander-volkov
Sergei Pavlovich,sergei-pavlovich
Jairzinho Rozenstruik,jairzinho-rozenstruik
Chris Daukaus,chris-daukaus
Marcin Tybura,marcin-tybura
Alexander Romanov,alexander-romanov
Shamil Abdurakhimov,shamil-abdurakhimov
Augusto Sakai,augusto-sakai
Blagoy Ivanov,blagoy-ivanov
Jiri Prochazka,jiri-prochazka
Glover Teixeira,glover-teixeira
Jan Blachowicz,jan-blachowicz
Aleksandar Rakic,aleksandar-rakic
Magomed Ankalaev,magomed-ankalaev
Anthony Smith,anthony-smith
Dominick Reyes,dominick-reyes
Paul Craig,paul-craig
Volkan Oezdemir,volkan-oezdemir
Jamahal Hill,jamahal-hill
Nikita Krylov,nikita-krylov
Dustin Jacoby,dustin-jacoby
Johnny Walker,johnny-walker
Ryan Spann,ryan-spann
Jimmy Crute,jimmy-crute
Israel Adesanya,israel-adesanya
Alex Pereira,alex-pereira
Robert Whittaker,robert-whittaker
Jared Cannonier,jared-cannonier
Marvin Vettori,marvin-vettori
Derek Brunson,derek-brunson
Sean Strickland,sean-strickland
Paulo Costa,paulo-costa
Jack Hermansson,jack-hermansson
Darren Till,darren-till
Kelvin Gastelum,kelvin-gastelum
Nassourdine Imavov,nassourdine-imavov
Brad Tavares,brad-tavares
Chris Curtis,chris-curtis
Dricus Du Plessis,dricus-du-plessis
Andre Muniz,andre-muniz
Chris Weidman,chris-weidman
Edmen Shahbazyan,edmen-shahbazyan
Kamaru Usman,kamaru-usman
Colby Covington,colby-covington
Leon Edwards,leon-edwards
Khamzat Chimaev,khamzat-chimaev
Gilbert Burns,gilbert-burns
Belal Muhammad,belal-muhammad
Vicente Luque,vicente-luque
Stephen Thompson,stephen-thompson
Jorge Masvidal,jorge-masvidal
Sean Brady,sean-brady
Neil Magny,neil-magny
Shavkat Rakhmonov,shavkat-rakhmonov
Michael Chiesa,michael-chiesa
Michel Pereira,michel-pereira
Geoff Neal,geoff-neal
Li Jingliang,li-jingliang
Santiago Ponzinibbio,santiago-ponzinibbio
Islam Makhachev,islam-makhachev
Charles Oliveira,charles-oliveira
Justin Gaethje,justin-gaethje
Dustin Poirier,dustin-poirier
Beneil Dariush,beneil-dariush
Michael Chandler,michael-chandler
Rafael Fiziev,rafael-fiziev
Mateusz Gamrot,mateusz-gamrot
Rafael Dos Anjos,rafael-dos-anjos
Tony Ferguson,tony-ferguson
Arman Tsarukyan,arman-tsarukyan
Conor McGregor,conor-mcgregor
Dan Hooker,dan-hooker
Ilia Topuria,ilia-topuria
Brad Riddell,brad-riddell
Gregor Gillespie,gregor-gillespie
Jalin Turner,jalin-turner
Leon Edwards,leon-edwards
Conor McGregor,conor-mcgregor
Paddy Pimblett,paddy-pimblett
Israel Adesanya,israel-adesanya
Charles Oliveira,charles-oliveira
Molly McCann,molly-mccann
Francis Ngannou,francis-ngannou
Jorge Masvidal,jorge-masvidal
Kamaru Usman,kamaru-usman
Alexander Volkanovski,alexander-volkanovski
Dustin Poirier,dustin-poirier
Jon Jones,jon-jones
Michael Chandler,michael-chandler
Max Holloway,max-holloway
Jose Aldo,jose-aldo
Robert Whittaker,robert-whittaker
Francis Ngannou,francis-ngannou
Ciryl Gane,ciryl-gane
Stipe Miocic,stipe-miocic
Jon Jones,jon-jones
Tai Tuivasa,tai-tuivasa
Curtis Blaydes,curtis-blaydes
Derrick Lewis,derrick-lewis
Tom Aspinall,tom-aspinall
Alexander Volkov,alexander-volkov
Sergei Pavlovich,sergei-pavlovich
Jairzinho Rozenstruik,jairzinho-rozenstruik
Chris Daukaus,chris-daukaus
Marcin Tybura,marcin-tybura
Alexander Romanov,alexander-romanov
Shamil Abdurakhimov,shamil-abdurakhimov
Augusto Sakai,augusto-sakai
Blagoy Ivanov,blagoy-ivanov
Jiri Prochazka,jiri-prochazka
Glover Teixeira,glover-teixeira
Jan Blachowicz,jan-blachowicz
Aleksandar Rakic,aleksandar-rakic
Magomed Ankalaev,magomed-ankalaev
Anthony Smith,anthony-smith
Dominick Reyes,dominick-reyes
Paul Craig,paul-craig
Volkan Oezdemir,volkan-oezdemir
Jamahal Hill,jamahal-hill
Nikita Krylov,nikita-krylov
Dustin Jacoby,dustin-jacoby
Johnny Walker,johnny-walker
Ryan Spann,ryan-spann
Jimmy Crute,jimmy-crute
Israel Adesanya,israel-adesanya
Alex Pereira,alex-pereira
Robert Whittaker,robert-whittaker
Jared Cannonier,jared-cannonier
Marvin Vettori,marvin-vettori
Derek Brunson,derek-brunson
Sean Strickland,sean-strickland
Paulo Costa,paulo-costa
Jack Hermansson,jack-hermansson
Darren Till,darren-till
Kelvin Gastelum,kelvin-gastelum
Nassourdine Imavov,nassourdine-imavov
Brad Tavares,brad-tavares
Chris Curtis,chris-curtis
Dricus Du Plessis,dricus-du-plessis
Andre Muniz,andre-muniz
Chris Weidman,chris-weidman
Edmen Shahbazyan,edmen-shahbazyan
Kamaru Usman,kamaru-usman
Colby Covington,colby-covington
Leon Edwards,leon-edwards
Khamzat Chimaev,khamzat-chimaev
Gilbert Burns,gilbert-burns
Belal Muhammad,belal-muhammad
Vicente Luque,vicente-luque
Stephen Thompson,stephen-thompson
Jorge Masvidal,jorge-masvidal
Sean Brady,sean-brady
Neil Magny,neil-magny
Shavkat Rakhmonov,shavkat-rakhmonov
Michael Chiesa,michael-chiesa
Michel Pereira,michel-pereira
Geoff Neal,geoff-neal
Li Jingliang,li-jingliang
Santiago Ponzinibbio,santiago-ponzinibbio
Islam Makhachev,islam-makhachev
Charles Oliveira,charles-oliveira
Justin Gaethje,justin-gaethje
