Leon Edwards,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-03/EDWARDS_LEON_L_BELT_03-18.png?itok=WPUJraam,31,74,72,170,fighter
Aldo Portillo,https://res.cloudinary.com/dkhtrg1ts/image/upload/v1698184275/sk4gpgy2j63d3mmqvznq.png,24,76,72,145,fighter
Conor McGregor,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-07/MCGREGOR_CONOR_L_07-10.png?itok=xbg9Kwfj,34,74,69,156,fighter
Paddy Pimblett,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-12/PIMBLETT_PADDY_L_12-10.png?itok=wVfPD_Zh,28,73,70,156,fighter
Israel Adesanya,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-09/ADESANYA_ISRAEL_L_04-08.png?itok=FOMzxCwD,34,80,76,184.8,fighter
Charles Oliveira,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-06/OLIVEIRA_CHARLES_L_06-10.png?itok=vKMJlOYL,33,74,70,154,fighter
Molly McCann,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-07/MCCANN_MOLLY_L_07-22.png?itok=Bm-A_p6d,33,62,64,125,fighter
Francis Ngannou,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-01/NGANNOU_FRANCIS_L_03-27.png?itok=s4MVBS7x,36,83,76,257,fighter
Jorge Masvidal,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-06/MASVIDAL_JORGE_L_04-08.png?itok=e6d7F5uq,38,74,71,171,fighter
Kamaru Usman,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-10/USMAN_KAMARU_L_10-21.png?itok=DR9KNML9,36,76,72,197,fighter
Alexander Volkanovski,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-07/VOLKANOVSKI_ALEXANDER_L_BELT_07-08.png?itok=FewlqaNo,35,71.5,66,174,fighter
Dustin Poirier,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-07/POIRIER_DUSTIN_L_07-29.png?itok=HpnsG2Hi,34,72,69,155,fighter
Jon Jones,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-03/JONES_JON_L_BELT_03_04.png?itok=P6J6DQpm,35,84.5,76,248,fighter
Michael Chandler,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-05/1dd9466e-5d52-4a1d-8af9-201e9af35e6a%252FCHANDLER_MICHAEL_L_05-07.png?itok=SGvqtEC7,37,71.5,68,155.8,fighter
Max Holloway,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-04/HOLLOWAY_MAX_L_04-15.png?itok=TQ_xcSO-,31,69,71,162.2,fighter
José Aldo,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/d44b164d-b5ae-4594-959e-12a7d6343803%252FALDO_JOSE_L_12-04.png?itok=Q4ck0MXP,36,70,67,136,fighter
Robert Whittaker,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-07/WHITTAKER_ROBERT_L_07-08.png?itok=A0So3heC,32,73.5,72,196,fighter
Francis Ngannou,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-01/NGANNOU_FRANCIS_L_03-27.png?itok=s4MVBS7x,36,83,76,257,fighter
Ciryl Gane,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-08/GANE_CIRYL_L_09-02.png?itok=OAX3zj-j,33,81,76,256,fighter
Stipe Miocic,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2020-03/MIOCIC_STIPE_L.png?VersionId=AvpdfeJOw_RIVkLQfyNsDDCkr7v26RtH&itok=tBa8SpCC,40,80,77,234,fighter
Jon Jones,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-03/JONES_JON_L_BELT_03_04.png?itok=P6J6DQpm,35,84.5,76,248,fighter
Tai Tuivasa,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-09/TUIVASA_TAI_L_09-09.png?itok=wqF5oP1c,30,75,74,288,fighter
Curtis Blaydes,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-07/228e06d2-8a86-42c0-a743-1929f8126eb7%252FBLAYDES_CURTIS_L_03-26.png?itok=TY0Rw6V7,32,80,76,262.5,fighter
Derrick Lewis,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-02/LEWIS_DERRICK_L_02-04.png?itok=MeDT_0op,38,79,75,263.5,fighter
Tom Aspinall,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-07/ASPINALL_TOM_L_07-22.png?itok=K7JDkSGN,30,78,77,258,fighter
Alexander Volkov,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-03/VOLKOV_ALEXANDER_L_03-11.png?itok=utZuJcnI,34,80,79,268,fighter
Sergei Pavlovich,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-04/PAVLOVICH_SERGEI_L_04-22.png?itok=Upm4A13Z,31,84,75,260.5,fighter
Jairzinho Rozenstruik,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-05/ROZENSTRUIK_JAIRZINHO_L_05-13.png?itok=xOfYqu5i,35,78,74,265,fighter
Chris Daukaus,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-11/DAUKAUS_CHRIS_L_09-25.png?itok=34hCc54A,33,76,75,205,fighter
Marcin Tybura,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-07/TYBURA_MARCIN_L_07-22.png?itok=M56jprrH,37,78,75,246,fighter
Shamil Abdurakhimov,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-02/ABDURAKHIMOV_SHAMIL_L_02_07.png?itok=-JAoDmQ7,41,76,75,263,fighter
Augusto Sakai,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-02/SAKAI_AUGUSTO_L_02-25.png?itok=sGecpHpJ,32,77,75,265,fighter
Blagoy Ivanov,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-07/IVANOV_BLAGOY_L_07-01.png?itok=NBUS2B5a,36,73,71,259,fighter
Jiří Procházka,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2021-05/68263%252Fprofile-galery%252Ffullbodyleft-picture%252FPROCHAZKA_JIRI_L_05-01.png?itok=q9khMCuN,30,80,75,205,fighter
Glover Teixeira,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-01/TEIXEIRA_GLOVER_L_01-19.png?itok=UszZk6f8,43,76,74,205,fighter
Jan Błachowicz,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-05/812dc71b-2116-4b24-bd64-78e8b42447f7%252FBLACHOWICZ_JAN_L_05-14.png?itok=NA_McbC9,40,78,74,205,fighter
Aleksandar Rakić,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-06/RAKIC_ALEKSANDAR_L_05-14.png?itok=7hzDVZpj,31,78,76,205,fighter
Magomed Ankalaev,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/8d73a67c-93a8-47bb-a433-6b752739b666%252FANKALAEV_MAGOMED_L_03-12.png?itok=hJWQCnh4,31,75,75,205,fighter
Anthony Smith,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-05/SMITH_ANTHONY_L_05-13.png?itok=ajezPo9f,35,76,76,211,fighter
Dominick Reyes,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-11/REYES_DOMINICK_L_11-12.png?itok=FVzb0yst,33,77,76,205.4,fighter
Paul Craig,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-07/CRAIG_PAUL_L_07-22.png?itok=mPGr2yWm,35,76,75.5,203,fighter
Volkan Oezdemir,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-08/OEZDEMIR_VOLKAN_L_09-02.png?itok=pIMxMQ90,33,75,74,225,fighter
Jamahal Hill,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-01/HILL_JAMAHAL_L_BELTCOMP.png?itok=79ml1hJB,32,79,76,204.5,fighter
Nikita Krylov,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-03/KRYLOV_NIKITA_L_03-11.png?itok=sF5nLTx9,31,77.5,75,213,fighter
Dustin Jacoby,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-08/JACOBY_DUSTIN_L_08-05.png?itok=jh3BF-sJ,35,76,75,215,fighter
Johnny Walker,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-02/601d454c-9816-4660-8f47-c92f3a3738f3%252FWALKER_JOHNNY_L_02-19.png?itok=-Oj2FjNg,31,82,78,219.8,fighter
Ryan Spann,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-02/SPANN_RYAN_L_02-25.png?itok=qummLR4X,32,79,77,222,fighter
Israel Adesanya,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-09/ADESANYA_ISRAEL_L_04-08.png?itok=FOMzxCwD,34,80,76,184.8,fighter
Alex Pereira,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-07/55fbce59-2dd7-4210-8501-b88e0c948d80%252FPEREIRA_ALEX_L_07-02.png?itok=K1jPXD2v,36,79,76,205.5,fighter
Robert Whittaker,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-07/WHITTAKER_ROBERT_L_07-08.png?itok=A0So3heC,32,73.5,72,196,fighter
Jared Cannonier,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-07/c94750b2-8c3a-4dd7-840c-7bfa0293c244%252FCANNONIER_JARED_L_07-02.png?itok=wWRjRMav,39,77.5,71,185.5,fighter
Marvin Vettori,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-06/VETTORI_MARVIN_L_06-17.png?itok=7jZ1QqBm,29,74,72,185.5,fighter
Derek Brunson,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-03/BRUNSON_DEREK_L_03-05.png?itok=7bGGw0AZ,39,77,73,185.5,fighter
Sean Strickland,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-09/STRICKLAND_SEAN_L_BELTMOCK.png?itok=QLnBsSSa,32,76,73,184.9,fighter
Paulo Costa,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-08/COSTA_PAULO_L_08-20.png?itok=OX5M7ZUU,32,72,73,185.5,fighter
Jack Hermansson,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-02/fef3a1eb-edb2-4f3b-be6b-92998eb16134%252FHERMANSSON_JACK_L_02-05.png?itok=QxrSWqlv,35,77.5,73,186,fighter
Darren Till,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-12/TILL_DARREN_L_12-10.png?itok=pCJkF50A,30,74.5,72,184.5,fighter
Kelvin Gastelum,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-06/GASTELUM_KELVIN_L_04-08.png?itok=wneg7hPm,31,71.5,69,185,fighter
Nassourdine Imavov,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-06/IMAVOV_NASSOURDINE_L_06-10.png?itok=VOoXGg2M,28,75,75,185.5,fighter
Brad Tavares,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-04/TAVARES_BRAD_L_04-22.png?itok=8uogjInt,35,74,73,185,fighter
Chris Curtis,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-06/CURTIS_CHRIS_L_06-10.png?itok=1J6fb1lV,35,75.5,70,185.3,fighter
Dricus Du Plessis,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-07/DU_PLESSUS_DRICUS_L_07-08.png?itok=o3g5Swus,29,76,73,186,fighter
Andre Muniz,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-02/MUNIZ_ANDRE_L_02-25.png?itok=Rn6HJbdk,33,78,73,185,fighter
Chris Weidman,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2023-08/WEIDMAN_CHRIS_L_08-19.png?itok=L3EHPemt,39,78,74,186,fighter
